PlantID,AncestorId,Symbol,ScientificName,CommonName,RankId,Rank
27864,15730,Liliopsida,Liliopsida,Monocotyledons,60,Class
27864,27002,Liliidae,Liliidae,,70,Subclass
27864,27003,Liliales,Liliales,,80,Order
27864,27806,LILIAC,Liliaceae Juss.,Lily family,100,Family
27864,27820,ALLIU,Allium L.,onion,140,Genus
27864,27864,ALBU2,Allium burdickii (Hanes) A.G. Jones,narrowleaf wild leek,180,Species
15747,7168,Plantae,Plantae,Plants,10,Kingdom
15747,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
15747,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
15747,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
15747,15730,Liliopsida,Liliopsida,Monocotyledons,60,Class
15747,15731,Alismatidae,Alismatidae,,70,Subclass
15747,15732,Alismatales,Alismatales,,80,Order
15747,15733,ALISMA,Alismataceae Vent.,Water-plantain family,100,Family
15747,15734,ALISM,Alisma L.,water plantain,140,Genus
15747,15747,ALTR7,Alisma triviale Pursh,northern water plantain,180,Species
27871,7168,Plantae,Plantae,Plants,10,Kingdom
27871,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
27871,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
27871,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
27871,15730,Liliopsida,Liliopsida,Monocotyledons,60,Class
27871,27002,Liliidae,Liliidae,,70,Subclass
27871,27003,Liliales,Liliales,,80,Order
27871,27806,LILIAC,Liliaceae Juss.,Lily family,100,Family
27871,27820,ALLIU,Allium L.,onion,140,Genus
27871,27871,ALCA3,Allium canadense L.,meadow garlic,180,Species
28053,7168,Plantae,Plantae,Plants,10,Kingdom
28053,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
28053,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
28053,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
28053,15730,Liliopsida,Liliopsida,Monocotyledons,60,Class
28053,27002,Liliidae,Liliidae,,70,Subclass
28053,27003,Liliales,Liliales,,80,Order
28053,27806,LILIAC,Liliaceae Juss.,Lily family,100,Family
28053,27820,ALLIU,Allium L.,onion,140,Genus
28053,28053,ALSC,Allium schoenoprasum L.,wild chives,180,Species
27903,7168,Plantae,Plantae,Plants,10,Kingdom
27903,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
27903,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
27903,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
27903,15730,Liliopsida,Liliopsida,Monocotyledons,60,Class
27903,27002,Liliidae,Liliidae,,70,Subclass
27903,27003,Liliales,Liliales,,80,Order
27903,27806,LILIAC,Liliaceae Juss.,Lily family,100,Family
27903,27820,ALLIU,Allium L.,onion,140,Genus
27903,27903,ALCE2,Allium cernuum Roth,nodding onion,180,Species
28074,7168,Plantae,Plantae,Plants,10,Kingdom
28074,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
28074,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
28074,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
28074,15730,Liliopsida,Liliopsida,Monocotyledons,60,Class
28074,27002,Liliidae,Liliidae,,70,Subclass
28074,27003,Liliales,Liliales,,80,Order
28074,27806,LILIAC,Liliaceae Juss.,Lily family,100,Family
28074,27820,ALLIU,Allium L.,onion,140,Genus
28074,28074,ALST,Allium stellatum Fraser ex Ker Gawl.,autumn onion,180,Species
28087,7168,Plantae,Plantae,Plants,10,Kingdom
28087,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
28087,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
28087,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
28087,15730,Liliopsida,Liliopsida,Monocotyledons,60,Class
28087,27002,Liliidae,Liliidae,,70,Subclass
28087,27003,Liliales,Liliales,,80,Order
28087,27806,LILIAC,Liliaceae Juss.,Lily family,100,Family
28087,27820,ALLIU,Allium L.,onion,140,Genus
28087,28087,ALTR3,Allium tricoccum Aiton,ramp,180,Species
69933,7168,Plantae,Plantae,Plants,10,Kingdom
69933,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
69933,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
69933,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
69933,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
69933,69858,Hamamelididae,Hamamelididae,,70,Subclass
69933,69896,Fagales,Fagales,,80,Order
69933,69897,BETULA,Betulaceae Gray,Birch family,100,Family
69933,69898,ALNUS,Alnus Mill.,alder,140,Genus
69933,69933,ALVI5,Alnus viridis (Chaix) DC.,green alder,180,Species
55720,7168,Plantae,Plantae,Plants,10,Kingdom
55720,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
55720,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
55720,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
55720,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
55720,55564,Caryophyllidae,Caryophyllidae,,70,Subclass
55720,55565,Caryophyllales,Caryophyllales,,80,Order
55720,55636,AMARAN,Amaranthaceae Martinov,Amaranth family,100,Family
55720,55711,AMARA,Amaranthus L.,pigweed,140,Genus
55720,55720,AMAR,Amaranthus arenicola I.M. Johnst.,sandhill amaranth,180,Species
55766,7168,Plantae,Plantae,Plants,10,Kingdom
55766,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
55766,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
55766,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
55766,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
55766,55564,Caryophyllidae,Caryophyllidae,,70,Subclass
55766,55565,Caryophyllales,Caryophyllales,,80,Order
