PlantID,Region,Status,Type
16021,CAN,N,Native
16021,L48,N,Native
16009,CAN,N,Native
16009,L48,N,Native
16024,CAN,N,Native
16024,HI,I,Introduced
16024,L48,N,Native
16024,PR,N,Native
63611,CAN,N,Native
63611,L48,N,Native
63618,AK,N,Native
63618,CAN,N,Native
63618,GL,N,Native
63618,L48,N,Native
51586,CAN,N,Native
51586,L48,N,Native
71735,CAN,N,Native
71735,L48,N,Native
71666,AK,N,Native
71666,CAN,N,Native
71666,L48,N,Native
71666,SPM,N,Native
71707,CAN,N,Native
71707,L48,N,Native
71707,SPM,N,Native
86324,CAN,N,Native
86324,L48,N,Native
71742,AK,I,Introduced
71742,CAN,N,Native
71742,L48,N,Native
71742,PR,N,Native
38166,CAN,N,Native
38166,L48,N,Native
86262,CAN,N,Native
86262,L48,N,Native
38168,CAN,N,Native
38168,L48,N,Native
38168,SPM,N,Native
86379,CAN,N,Native
86379,L48,N,Native
86446,CAN,N,Native
86446,L48,N,Native
86409,CAN,I,Introduced
86409,HI,I,Introduced
86409,L48,N,Native
86409,PB,I,Introduced
86444,CAN,N,Native
86444,L48,N,Native
86510,L48,N,Native
86451,CAN,N,Native
86451,L48,N,Native
86451,SPM,N,Native
86527,CAN,N,Native
86527,L48,N,Native
86479,CAN,N,Native
86479,L48,N,Native
86485,CAN,N,Native
86485,L48,N,Native
86485,SPM,I,Introduced
86554,CAN,N,Native
86554,L48,N,Native
86554,SPM,N,Native
38177,CAN,N,Native
38177,L48,N,Native
38199,CAN,N,Native
38199,L48,N,Native
38201,CAN,N,Native
38201,L48,N,Native
38189,CAN,N,Native
38189,L48,N,Native
13778,CAN,N,Native
13778,L48,N,Native
13778,SPM,N,Native
38187,CAN,N,Native
38187,L48,N,Native
38222,CAN,N,Native
38222,L48,N,Native
74748,AK,N,Native
74748,CAN,N,Native
74748,L48,N,Native
38229,CAN,N,Native
38229,L48,N,Native
38229,SPM,N,Native
45238,CAN,N,Native
45238,L48,N,Native
56850,CAN,N,Native
56850,L48,N,Native
81479,L48,N,Native
12960,AK,N,Native
12960,CAN,N,Native
12960,L48,N,Native
12960,SPM,N,Native
45244,CAN,N,Native
45244,L48,N,Native
12965,L48,N,Native
65649,AK,N,Native
65649,CAN,N,Native
65649,GL,N,Native
65649,L48,N,Native
65649,SPM,N,Native
56840,CAN,N,Native
56840,L48,N,Native
49960,AK,N,Native
49960,CAN,N,Native
49960,L48,N,Native
74371,CAN,N,Native
74371,L48,N,Native
49999,AK,N,Native
49999,CAN,N,Native
49999,CAN,W,Introduced
49999,L48,N,Native
49999,SPM,N,Native
74378,CAN,N,Native
74378,L48,N,Native
24214,CAN,N,Native
24214,L48,N,Native
74363,AK,N,Native
74363,CAN,N,Native
74363,L48,N,Native
83893,CAN,I,Introduced
83893,HI,I,Introduced
83893,L48,N,Native
83893,PB,I,Introduced
83893,PR,N,Native
83893,VI,N,Native
83918,CAN,I,Introduced
83918,L48,N,Native
84036,L48,N,Native
84036,PR,I,Introduced
38436,CAN,N,Native
38436,L48,N,Native
83954,CAN,N,Native
83954,L48,N,Native
83954,SPM,N,Native
84001,CAN,I,Introduced
84001,L48,N,Native
74406,CAN,N,Native
74406,L48,N,Native
38390,AK,N,Native
38390,CAN,N,Native
38390,L48,N,Native
38393,L48,N,Native
74763,CAN,N,Native
74763,L48,N,Native
38443,AK,N,Native
38443,CAN,N,Native
38443,L48,N,Native
24251,CAN,N,Native
24251,L48,N,Native
24251,VI,N,Native
38446,AK,N,Native
38446,CAN,N,Native
38446,L48,N,Native
38459,CAN,N,Native
38459,L48,N,Native
74764,CAN,N,Native
74764,L48,N,Native
24280,CAN,N,Native
24280,L48,N,Native
24282,CAN,N,Native
24282,L48,N,Native
71086,CAN,N,Native
71086,L48,N,Native
24334,CAN,N,Native
24334,L48,N,Native
24391,L48,N,Native
87460,L48,N,Native
92146,CAN,N,Native
92146,L48,N,Native
57792,CAN,N,Native
57792,L48,N,Native
38604,L48,N,Native
24567,CAN,N,Native
24567,L48,N,Native
24567,PB,I,Introduced
24567,PR,N,Native
57816,CAN,N,Native
